name2	name	chrom	strand	txStart	txEnd	probe_id	THP1_nLPS	THP1_wLPS	pval
A1BG	NM_130786	chr19	-	58858171	58864865	NM_130786_refseq	1.552487	2.010415	0.780889658
A1BG-AS1	NR_015380	chr19	+	58863335	58866549	NR_015380_refseq	1.54173	0	0.045115345
A1CF	NM_001198818	chr10	-	52559168	52645435	NM_001198818_refseq	0	0	1
A1CF	NM_001198819	chr10	-	52559168	52645435	NM_001198819_refseq	0	0	1
A1CF	NM_001198820	chr10	-	52559168	52645435	NM_001198820_refseq	0	0	1
A1CF	NM_014576	chr10	-	52559168	52645435	NM_014576_refseq	0	0	1
A1CF	NM_138932	chr10	-	52559168	52645435	NM_138932_refseq	0	0	1
A1CF	NM_138933	chr10	-	52559168	52645435	NM_138933_refseq	0	0	1
A2M	NM_000014	chr12	-	9220303	9268558	NM_000014_refseq	146.975506	175.660965	0.736487597
A2M-AS1	NR_026971	chr12	+	9217772	9220651	NR_026971_refseq	0	0	1
A2ML1	NM_001282424	chr12	+	8997599	9029381	NM_001282424_refseq	0	0	1
A2ML1	NM_144670	chr12	+	8975149	9029381	NM_144670_refseq	0.036297	0	0.750266234
A2MP1	NR_040112	chr12	-	9381128	9386803	NR_040112_refseq	0	0	1
A3GALT2	NM_001080438	chr1	-	33772366	33786699	NM_001080438_refseq	0.7745225	0	0.148533132
A4GALT	NM_017436	chr22	-	43088126	43116876	NM_017436_refseq	0	0	1
A4GNT	NM_016161	chr3	-	137842559	137851229	NM_016161_refseq	0.0616055	0.0820735	0.941927057
AA06	NR_037584	chr17	-	31856805	31860779	NR_037584_refseq	0	0	1
AAAS	NM_001173466	chr12	-	53701239	53715412	NM_001173466_refseq	0	0	1
AAAS	NM_015665	chr12	-	53701239	53715412	NM_015665_refseq	15.8378645	13.5760255	0.711869779
AACS	NM_023928	chr12	+	125549924	125627871	NM_023928_refseq	1.9155845	1.3283415	0.633164353
AACSP1	NR_024035	chr5	-	178191863	178203277	NR_024035_refseq	0	0	1
AADAC	NM_001086	chr3	+	151531860	151546276	NM_001086_refseq	0	0	1
AADACL2	NM_207365	chr3	+	151451703	151475556	NM_207365_refseq	0	0.011191	0.860807778
AADACL2-AS1	NR_110202	chr3	-	151468966	151645963	NR_110202_refseq	0	0	1
AADACL2-AS1	NR_110203	chr3	-	151468966	151645963	NR_110203_refseq	0	0	1
AADACL3	NM_001103170	chr1	+	12776117	12788726	NM_001103170_refseq	0	0	1
AADACL3	NR_111984	chr1	+	12776117	12788726	NR_111984_refseq	0	0	1
AADACL4	NM_001013630	chr1	+	12704565	12727097	NM_001013630_refseq	0	0	1
AADACP1	NR_026915	chr3	+	151488243	151502682	NR_026915_refseq	0	0	1
AADAT	NM_001286682	chr4	-	170981372	171011372	NM_001286682_refseq	0	0	1
AADAT	NM_001286683	chr4	-	170981372	171011538	NM_001286683_refseq	0	0	1
AADAT	NM_016228	chr4	-	170981372	171011183	NM_016228_refseq	0.1694675	0.1582065	0.974630005
AADAT	NM_182662	chr4	-	170981372	171011372	NM_182662_refseq	0	0	1
AAED1	NM_153698	chr9	-	99403532	99417599	NM_153698_refseq	0.4696435	3.309249	0.029536388
AAGAB	NM_001271885	chr15	-	67493012	67547536	NM_001271885_refseq	0.1099955	0.1924095	0.836013022
AAGAB	NM_001271886	chr15	-	67493012	67547074	NM_001271886_refseq	1.4487355	2.765012	0.369472636
AAGAB	NM_024666	chr15	-	67493012	67547074	NM_024666_refseq	0	0	1
