chr	probe_start	probe_end	TargetID	DesignName	side	gene_name
chr1	568293	568413	MIR6723:567793:NR_106781_refseq	Design4_Design5	R	MIR6723
chr1	762681	762801	LINC00115:762902:NR_024321_refseq__LINC01128:762970:NR_047519_refseq	Design4_Design5	L	LINC00115
chr1	860492	860612	SAMD11:861120:NM_152486_refseq	Design4_Design5	L	SAMD11
chr1	861216	861336	SAMD11:861120:NM_152486_refseq	Design4_Design5	R	SAMD11
chr1	894207	894327	KLHL17:895966:NM_198317_refseq__NOC2L:894679:NM_015658_refseq	Design4_Design5	L	KLHL17
chr1	896754	896874	KLHL17:895966:NM_198317_refseq	Design4_Design5	R	KLHL17
chr1	901012	901132	PLEKHN1:901876:NM_001160184_refseq	Design4_Design5	L	PLEKHN1
chr1	902683	902803	PLEKHN1:901876:NM_001160184_refseq	Design4_Design5	R	PLEKHN1
chr1	917143	917263	PERM1:917497:NM_001291366_refseq	Design4_Design5	L	PERM1
chr1	917897	918017	PERM1:917497:NM_001291366_refseq	Design4_Design5	R	PERM1
chr1	935891	936011	HES4:935552:NM_001142467_refseq	Design4_Design5	R	HES4
chr1	948613	948733	ISG15:948846:NM_005101_refseq	Design4_Design5	L	ISG15
chr1	948996	949116	ISG15:948846:NM_005101_refseq	Design4_Design5	R	ISG15
chr1	955020	955140	AGRN:955502:NM_001305275_refseq	Design4_Design5	L	AGRN
chr1	955594	955714	AGRN:955502:NM_001305275_refseq	Design4_Design5	R	AGRN
chr1	1009010	1009130	RNF223:1009687:NM_001205252_refseq	Design4_Design5	L	RNF223
chr1	1050063	1050183	C1orf159:1051736:NM_017891_refseq	Design4_Design5	L	C1orf159
chr1	1052384	1052504	C1orf159:1051736:NM_017891_refseq	Design4_Design5	R	C1orf159
chr1	1071950	1072070	LINC01342:1072396:NR_038869_refseq	Design4_Design5	L	LINC01342
chr1	1100219	1100339	MIR200B:1102483:NR_029639_refseq	Design4_Design5	L	MIR200B
chr1	1105019	1105139	MIR429:1104384:NR_029957_refseq	Design4_Design5	R	MIR429
chr1	1108913	1109033	TTLL10:1109285:NM_001130045_refseq	Design4_Design5	L	TTLL10
chr1	1114821	1114941	TTLL10:1115076:NM_153254_refseq	Design4_Design5	L	TTLL10
chr1	1116043	1116163	TTLL10:1115076:NM_153254_refseq	Design4_Design5	R	TTLL10
chr1	1141601	1141721	TNFRSF18:1142089:NM_004195_refseq	Design4_Design5	L	TNFRSF18
chr1	1142553	1142673	TNFRSF18:1142089:NM_004195_refseq	Design4_Design5	R	TNFRSF18
chr1	1167293	1167413	SDF4:1167447:NM_016176_refseq	Design4_Design5	L	SDF4
chr1	1168813	1168933	B3GALT6:1167628:NM_080605_refseq__SDF4:1167447:NM_016176_refseq	Design4_Design5	R	B3GALT6
chr1	1208759	1208879	UBE2J2:1209234:NM_058167_refseq	Design4_Design5	L	UBE2J2
chr1	1209854	1209974	UBE2J2:1209234:NM_058167_refseq	Design4_Design5	R	UBE2J2
chr1	1216943	1217063	SCNN1D:1215815:NM_001130413_refseq	Design4_Design5	R	SCNN1D
chr1	1231369	1231489	MIR6726:1231550:NR_106784_refseq	Design4_Design5	L	MIR6726
chr1	1242773	1242893	ACAP3:1243269:NM_030649_refseq__PUSL1:1243993:NM_153339_refseq	Design4_Design5	L	ACAP3
chr1	1248063	1248183	MIR6727:1247946:NR_106785_refseq	Design4_Design5	R	MIR6727
chr1	1259976	1260096	CPTP:1260142:NM_001029885_refseq	Design4_Design5	L	CPTP
chr1	1260999	1261119	CPSF3L:1260067:NM_001256456_refseq__CPTP:1260142:NM_001029885_refseq	Design4_Design5	R	CPSF3L
chr1	1266955	1267075	TAS1R3:1266725:NM_152228_refseq	Design4_Design5	R	TAS1R3
chr1	1274259	1274379	MIR6808:1275088:NR_106866_refseq	Design4_Design5	L	MIR6808
chr1	1275989	1276109	MIR6808:1275088:NR_106866_refseq	Design4_Design5	R	MIR6808
chr1	1286834	1286954	DVL1:1284492:NM_004421_refseq	Design4_Design5	R	DVL1
chr1	1297556	1297676	MXRA8:1298921:NM_001282582_refseq	Design4_Design5	L	MXRA8
chr1	1299785	1299905	MXRA8:1298921:NM_001282582_refseq	Design4_Design5	R	MXRA8
chr1	1310604	1310724	AURKAIP1:1310818:NM_001127229_refseq	Design4_Design5	L	AURKAIP1
chr1	1312413	1312533	AURKAIP1:1310818:NM_001127229_refseq	Design4_Design5	R	AURKAIP1
chr1	1334923	1335043	CCNL2:1334718:NM_001039577_refseq	Design4_Design5	R	CCNL2
chr1	1342533	1342653	MRPL20:1342693:NM_017971_refseq	Design4_Design5	L	MRPL20
chr1	1356400	1356520	ANKRD65:1356824:NM_001145210_refseq	Design4_Design5	L	ANKRD65
chr1	1362230	1362350	TMEM88B:1361507:NM_001146685_refseq	Design4_Design5	R	TMEM88B
chr1	1369816	1369936	VWA1:1370902:NM_022834_refseq	Design4_Design5	L	VWA1
chr1	1371993	1372113	VWA1:1370902:NM_022834_refseq	Design4_Design5	R	VWA1
chr1	1385268	1385388	ATAD3C:1385068:NM_001039211_refseq	Design4_Design5	R	ATAD3C
chr1	1407514	1407634	ATAD3B:1407163:NM_031921_refseq	Design4_Design5	R	ATAD3B
chr1	1447197	1447317	ATAD3A:1447522:NM_001170535_refseq	Design4_Design5	L	ATAD3A
chr1	1448045	1448165	ATAD3A:1447522:NM_001170535_refseq	Design4_Design5	R	ATAD3A
chr1	1474490	1474610	TMEM240:1475740:NM_001114748_refseq	Design4_Design5	L	TMEM240
